date,state,pledges
2023-06-01,Johor,10
2023-06-02,Johor,10
2023-06-03,Johor,7
2023-06-04,Johor,7
2023-06-05,Johor,9
2023-06-06,Johor,9
2023-06-07,Johor,15
2023-06-08,Johor,13
2023-06-09,Johor,10
2023-06-10,Johor,14
2023-06-11,Johor,7
2023-06-12,Johor,26
2023-06-13,Johor,13
2023-06-14,Johor,8
2023-06-15,Johor,14
2023-06-16,Johor,6
2023-06-17,Johor,5
2023-06-18,Johor,21
2023-06-19,Johor,8
2023-06-20,Johor,11
2023-06-21,Johor,11
2023-06-22,Johor,9
2023-06-23,Johor,5
2023-06-24,Johor,7
2023-06-25,Johor,7
2023-06-26,Johor,4
2023-06-27,Johor,8
2023-06-28,Johor,3
2023-06-29,Johor,1
2023-06-30,Johor,6
2023-07-01,Johor,4
2023-07-02,Johor,13
2023-07-03,Johor,9
2023-07-04,Johor,4
2023-07-05,Johor,10
2023-07-06,Johor,4
2023-07-07,Johor,4
2023-07-08,Johor,9
2023-07-09,Johor,7
2023-07-10,Johor,8
2023-07-11,Johor,7
2023-07-12,Johor,4
2023-07-13,Johor,2
2023-07-14,Johor,4
2023-07-15,Johor,3
2023-07-16,Johor,5
2023-07-17,Johor,8
2023-07-18,Johor,8
2023-07-19,Johor,6
2023-07-20,Johor,8
2023-07-21,Johor,1
2023-07-22,Johor,7
2023-07-23,Johor,5
2023-07-24,Johor,10
2023-07-25,Johor,8
2023-07-26,Johor,7
2023-07-27,Johor,3
2023-07-28,Johor,2
2023-07-29,Johor,3
2023-07-30,Johor,7
2023-07-31,Johor,10
2023-08-01,Johor,7
2023-08-02,Johor,10
2023-08-03,Johor,18
2023-08-04,Johor,5
2023-08-05,Johor,3
2023-08-06,Johor,4
2023-08-07,Johor,3
2023-08-08,Johor,6
2023-08-09,Johor,6
2023-08-10,Johor,10
2023-08-11,Johor,2
2023-08-12,Johor,6
2023-08-13,Johor,15
2023-08-14,Johor,5
2023-08-15,Johor,7
2023-08-16,Johor,4
2023-08-17,Johor,13
2023-08-18,Johor,7
2023-08-19,Johor,5
2023-08-20,Johor,22
2023-08-21,Johor,6
2023-08-22,Johor,6
2023-08-23,Johor,8
2023-08-24,Johor,4
2023-08-25,Johor,1
2023-08-26,Johor,4
2023-08-27,Johor,18
2023-08-28,Johor,7
2023-08-29,Johor,3
2023-08-30,Johor,4
2023-08-31,Johor,3
2023-09-01,Johor,3
2023-09-02,Johor,6
2023-09-03,Johor,9
2023-09-04,Johor,5
2023-09-05,Johor,7
2023-09-06,Johor,10
2023-09-07,Johor,21
2023-09-08,Johor,10
2023-09-09,Johor,12
2023-09-10,Johor,8
2023-09-11,Johor,14
2023-09-12,Johor,23
2023-09-13,Johor,25
2023-09-14,Johor,7
2023-09-15,Johor,8
2023-09-16,Johor,14
2023-09-17,Johor,13
2023-09-18,Johor,12
2023-09-19,Johor,12
2023-09-20,Johor,7
2023-09-21,Johor,2
2023-09-22,Johor,9
2023-09-23,Johor,13
2023-09-24,Johor,9
2023-09-25,Johor,4
2023-09-26,Johor,9
2023-09-27,Johor,5
2023-09-28,Johor,6
2023-09-29,Johor,4
2023-09-30,Johor,5
2023-10-01,Johor,4
2023-10-02,Johor,5
2023-10-03,Johor,3
2023-10-04,Johor,7
2023-10-05,Johor,3
2023-10-06,Johor,6
2023-10-07,Johor,5
2023-10-08,Johor,9
2023-10-09,Johor,7
2023-10-10,Johor,16
2023-10-11,Johor,14
2023-10-12,Johor,2
2023-10-13,Johor,5
2023-10-14,Johor,8
2023-10-15,Johor,5
2023-10-16,Johor,5
2023-10-17,Johor,5
2023-10-18,Johor,4
2023-10-19,Johor,8
2023-10-20,Johor,5
2023-10-21,Johor,3
2023-10-22,Johor,6
2023-10-23,Johor,4
2023-10-24,Johor,4
2023-10-25,Johor,8
2023-10-26,Johor,4
2023-10-27,Johor,3
2023-10-28,Johor,8
2023-10-29,Johor,4
2023-10-30,Johor,4
2023-10-31,Johor,3
2023-11-01,Johor,6
2023-11-02,Johor,6
2023-11-03,Johor,7
2023-11-04,Johor,11
2023-11-05,Johor,7
2023-11-06,Johor,3
2023-11-07,Johor,4
2023-11-08,Johor,6
2023-11-09,Johor,2
2023-11-10,Johor,5
2023-11-11,Johor,4
2023-11-12,Johor,3
2023-11-13,Johor,5
2023-11-14,Johor,8
2023-11-15,Johor,6
2023-11-16,Johor,7
2023-11-17,Johor,5
2023-11-18,Johor,16
2023-11-19,Johor,9
2023-11-20,Johor,10
2023-11-21,Johor,8
2023-11-22,Johor,3
2023-11-23,Johor,5
2023-11-24,Johor,4
2023-11-25,Johor,5
2023-11-26,Johor,5
2023-11-27,Johor,5
2023-11-28,Johor,5
2023-11-29,Johor,6
2023-11-30,Johor,9
2023-12-01,Johor,3
2023-12-02,Johor,7
2023-12-03,Johor,10
2023-12-04,Johor,10
2023-12-05,Johor,8
2023-12-06,Johor,8
2023-12-07,Johor,6
2023-12-08,Johor,9
2023-12-09,Johor,3
2023-12-10,Johor,12
2023-12-11,Johor,19
2023-12-12,Johor,9
2023-12-13,Johor,12
2023-12-14,Johor,18
2023-12-15,Johor,15
2023-12-16,Johor,10
2023-12-17,Johor,8
2023-12-18,Johor,24
2023-12-19,Johor,17
2023-12-20,Johor,17
2023-12-21,Johor,12
2023-12-22,Johor,7
2023-12-23,Johor,8
2023-12-24,Johor,12
2023-12-25,Johor,12
2023-12-26,Johor,5
2023-12-27,Johor,8
2023-12-28,Johor,8
2023-12-29,Johor,4
2023-12-30,Johor,7
2023-12-31,Johor,7
2022-01-01,Kedah,15
2022-01-02,Kedah,1
2022-01-03,Kedah,2
2022-01-04,Kedah,0
2022-01-05,Kedah,1
2022-01-06,Kedah,1
2022-01-07,Kedah,7
2022-01-08,Kedah,0
2022-01-09,Kedah,0
2022-01-10,Kedah,1
2022-01-11,Kedah,1
2022-01-12,Kedah,2
2022-01-13,Kedah,5
2022-01-14,Kedah,6
2022-01-15,Kedah,0
2022-01-16,Kedah,0
2022-01-17,Kedah,1
2022-01-18,Kedah,1
2022-01-19,Kedah,0
2022-01-20,Kedah,0
2022-01-21,Kedah,0
2022-01-22,Kedah,0
2022-01-23,Kedah,0
2022-01-24,Kedah,4
2022-01-25,Kedah,0
2022-01-26,Kedah,0
2022-01-27,Kedah,0
2022-01-28,Kedah,0
2022-01-29,Kedah,0
2022-01-30,Kedah,6
2022-01-31,Kedah,30
2022-02-01,Kedah,0
2022-02-02,Kedah,0
2022-02-03,Kedah,1
2022-02-04,Kedah,0
2022-02-05,Kedah,1
2022-02-06,Kedah,0
2022-02-07,Kedah,1
2022-02-08,Kedah,2
2022-02-09,Kedah,2
2022-02-10,Kedah,1
2022-02-11,Kedah,4
2022-02-12,Kedah,0
2022-02-13,Kedah,0
2022-02-14,Kedah,33
2022-02-15,Kedah,14
2022-02-16,Kedah,1
2022-02-17,Kedah,2
2022-02-18,Kedah,4
2022-02-19,Kedah,1
2022-02-20,Kedah,1
2022-02-21,Kedah,1
2022-02-22,Kedah,8
2022-02-23,Kedah,1
2022-02-24,Kedah,1
2022-02-25,Kedah,0
2022-02-26,Kedah,1
2022-02-27,Kedah,1
2022-02-28,Kedah,13
2022-03-01,Kedah,0
2022-03-02,Kedah,2
2022-03-03,Kedah,0
2022-03-04,Kedah,1
2022-03-05,Kedah,5
2022-03-06,Kedah,5
2022-03-07,Kedah,6
2022-03-08,Kedah,10
2022-03-09,Kedah,3
2022-03-10,Kedah,4
2022-03-11,Kedah,1
2022-03-12,Kedah,1
2022-03-13,Kedah,2
2022-03-14,Kedah,4
2022-03-15,Kedah,4
2022-03-16,Kedah,2
2022-03-17,Kedah,0
2022-03-18,Kedah,1
2022-03-19,Kedah,1
2022-03-20,Kedah,300
2022-03-21,Kedah,20
2022-03-22,Kedah,5
2022-03-23,Kedah,0
2022-03-24,Kedah,2
2022-03-25,Kedah,1
2022-03-26,Kedah,1
2022-03-27,Kedah,1
2022-03-28,Kedah,7
2022-03-29,Kedah,5
2022-03-30,Kedah,6
2022-03-31,Kedah,2
2022-04-01,Kedah,6
2022-04-02,Kedah,3
2022-04-03,Kedah,0
2022-04-04,Kedah,3
2022-04-05,Kedah,3
2022-04-06,Kedah,1
2022-04-07,Kedah,2
2022-04-08,Kedah,1
2022-04-09,Kedah,0
2022-04-10,Kedah,0
2022-04-11,Kedah,1
2022-04-12,Kedah,4
2022-04-13,Kedah,4
2022-04-14,Kedah,1
2022-04-15,Kedah,1
2022-04-16,Kedah,1
2022-04-17,Kedah,1
2022-04-18,Kedah,3
2022-04-19,Kedah,5
2022-04-20,Kedah,3
2022-04-21,Kedah,0
2022-04-22,Kedah,0
2022-04-23,Kedah,3
2022-04-24,Kedah,1
2022-04-25,Kedah,3
2022-04-26,Kedah,0
2022-04-27,Kedah,3
2022-04-28,Kedah,7
2022-04-29,Kedah,2
2022-04-30,Kedah,0
2022-05-01,Kedah,2
2022-05-02,Kedah,0
2022-05-03,Kedah,0
2022-05-04,Kedah,1
2022-05-05,Kedah,2
2022-05-06,Kedah,0
2022-05-07,Kedah,1
2022-05-08,Kedah,0
2022-05-09,Kedah,7
2022-05-10,Kedah,3
2022-05-11,Kedah,3
2022-05-12,Kedah,0
2022-05-13,Kedah,2
2022-05-14,Kedah,0
2022-05-15,Kedah,2
2022-05-16,Kedah,3
2022-05-17,Kedah,2
2022-05-18,Kedah,1
2022-05-19,Kedah,1
2022-05-20,Kedah,1
2022-05-21,Kedah,0
2022-05-22,Kedah,0
2022-05-23,Kedah,1
2022-05-24,Kedah,3
2022-05-25,Kedah,0
2022-05-26,Kedah,0
2022-05-27,Kedah,0
2022-05-28,Kedah,0
2022-05-29,Kedah,0
2022-05-30,Kedah,26
2022-05-31,Kedah,9
2022-06-01,Kedah,8
2022-06-02,Kedah,1
2022-06-03,Kedah,3
2022-06-04,Kedah,1
2022-06-05,Kedah,0
2022-06-06,Kedah,0
2022-06-07,Kedah,1
2022-06-08,Kedah,2
2022-06-09,Kedah,3
2022-06-10,Kedah,17
2022-06-11,Kedah,3
2022-06-12,Kedah,3
2022-06-13,Kedah,3
2022-06-14,Kedah,5
2022-06-15,Kedah,3
2022-06-16,Kedah,1
2022-06-17,Kedah,2
2022-06-18,Kedah,0
2022-06-19,Kedah,3
2022-06-20,Kedah,8
2022-06-21,Kedah,4
2022-06-22,Kedah,5
2022-06-23,Kedah,1
2022-06-24,Kedah,1
2022-06-25,Kedah,1
2022-06-26,Kedah,0
2022-06-27,Kedah,1
2022-06-28,Kedah,1
2022-06-29,Kedah,4
2022-06-30,Kedah,5
2022-07-01,Kedah,4
2022-07-02,Kedah,2
2022-07-03,Kedah,2
2022-07-04,Kedah,4
2022-07-05,Kedah,1
2022-07-06,Kedah,1
2022-07-07,Kedah,2
2022-07-08,Kedah,1
2022-07-09,Kedah,1
2022-07-10,Kedah,1
2022-07-11,Kedah,8
2022-07-12,Kedah,1
2022-07-13,Kedah,3
2022-07-14,Kedah,2
2022-07-15,Kedah,1
2022-07-16,Kedah,0
2022-07-17,Kedah,0
2022-07-18,Kedah,0
2022-07-19,Kedah,3
2022-07-20,Kedah,1
2022-07-21,Kedah,1
2022-07-22,Kedah,2
2022-07-23,Kedah,0
2022-07-24,Kedah,1
2022-07-25,Kedah,3
2022-07-26,Kedah,2
2022-07-27,Kedah,4
2022-07-28,Kedah,2
2022-07-29,Kedah,1
2022-07-30,Kedah,1
2022-07-31,Kedah,1
2022-08-01,Kedah,4
2022-08-02,Kedah,0
2022-08-03,Kedah,2
2022-08-04,Kedah,2
2022-08-05,Kedah,4
2022-08-06,Kedah,1
2022-08-07,Kedah,0
2022-08-08,Kedah,2
2022-08-09,Kedah,1
2022-08-10,Kedah,1
2022-08-11,Kedah,2
2022-08-12,Kedah,3
2022-08-13,Kedah,97
2022-08-14,Kedah,38
2022-08-15,Kedah,8
2022-08-16,Kedah,4
2022-08-17,Kedah,5
2022-08-18,Kedah,1
2022-08-19,Kedah,0
2022-08-20,Kedah,1
2022-08-21,Kedah,1
2022-08-22,Kedah,0
2022-08-23,Kedah,3
2022-08-24,Kedah,0
2022-08-25,Kedah,3
2022-08-26,Kedah,0
2022-08-27,Kedah,0
2022-08-28,Kedah,0
2022-08-29,Kedah,2
2022-08-30,Kedah,7
2022-08-31,Kedah,58
2022-09-01,Kedah,5
2022-09-02,Kedah,4
2022-09-03,Kedah,2
2022-09-04,Kedah,4
2022-09-05,Kedah,0
2022-09-06,Kedah,10
2022-09-07,Kedah,70
2022-09-08,Kedah,36
2022-09-09,Kedah,17
2022-09-10,Kedah,15
2022-09-11,Kedah,15
2022-09-12,Kedah,15
2022-09-13,Kedah,10
2022-09-14,Kedah,29
2022-09-15,Kedah,29
2022-09-16,Kedah,14
2022-09-17,Kedah,13
2022-09-18,Kedah,10
2022-09-19,Kedah,11
2022-09-20,Kedah,7
2022-09-21,Kedah,6
2022-09-22,Kedah,13
2022-09-23,Kedah,9
2022-09-24,Kedah,8
2022-09-25,Kedah,11
2022-09-26,Kedah,7
2022-09-27,Kedah,6
2022-09-28,Kedah,6
2022-09-29,Kedah,6
2022-09-30,Kedah,25
2022-10-01,Kedah,40
2022-10-02,Kedah,32
2022-10-03,Kedah,55
2022-10-04,Kedah,66
2022-10-05,Kedah,44
2022-10-06,Kedah,31
2022-10-07,Kedah,20
2022-10-08,Kedah,11
2022-10-09,Kedah,21
2022-10-10,Kedah,11
2022-10-11,Kedah,16
2022-10-12,Kedah,12
2022-10-13,Kedah,7
2022-10-14,Kedah,11
2022-10-15,Kedah,12
2022-10-16,Kedah,9
2022-10-17,Kedah,13
2022-10-18,Kedah,10
2022-10-19,Kedah,21
2022-10-20,Kedah,19
2022-10-21,Kedah,11
2022-10-22,Kedah,6
2022-10-23,Kedah,7
2022-10-24,Kedah,15
2022-10-25,Kedah,10
2022-10-26,Kedah,4
2022-10-27,Kedah,8
2022-10-28,Kedah,7
2022-10-29,Kedah,6
2022-10-30,Kedah,15
2022-10-31,Kedah,9
2022-11-01,Kedah,10
2022-11-02,Kedah,15
2022-11-03,Kedah,16
2022-11-04,Kedah,11
2022-11-05,Kedah,9
2022-11-06,Kedah,18
2022-11-07,Kedah,11
2022-11-08,Kedah,8
2022-11-09,Kedah,7
2022-11-10,Kedah,14
2022-11-11,Kedah,8
2022-11-12,Kedah,7
2022-11-13,Kedah,18
2022-11-14,Kedah,12
2022-11-15,Kedah,7
2022-11-16,Kedah,12
